npz_path,gloss,label_id,n_frames,hand_null_ratio,avg_hand_conf
isl_landmarks/00335__629b68d8.npz,ABDOMEN,3,58,0.5517,0.4483
isl_landmarks/00336__b71e6a21.npz,ABDOMEN,3,65,0.1692,0.8308
isl_landmarks/00338__746b7a4a.npz,ABDOMEN,3,71,0.0000,1.0000
isl_landmarks/00339__8d26ba83.npz,ABDOMEN,3,60,0.0000,1.0000
isl_landmarks/00341__d27e114a.npz,ABDOMEN,3,84,0.5119,0.4881
isl_landmarks/00376__8a02a4d5.npz,ABLE,4,56,0.5536,0.4464
isl_landmarks/00377__9dc91489.npz,ABLE,4,89,0.5393,0.4607
isl_landmarks/00381__672baf78.npz,ABLE,4,36,0.0000,1.0000
isl_landmarks/00382__7bc502a3.npz,ABLE,4,44,0.2045,0.7955
isl_landmarks/00384__03e2359d.npz,ABLE,4,85,0.6000,0.4000
isl_landmarks/00414__69113f4a.npz,ABOUT,5,105,0.3238,0.6762
isl_landmarks/00415__526e1201.npz,ABOUT,5,38,0.2632,0.7368
isl_landmarks/00416__c074c9e7.npz,ABOUT,5,116,0.4052,0.5948
isl_landmarks/00421__cbff7620.npz,ABOUT,5,33,0.0000,1.0000
isl_landmarks/00426__21f40a79.npz,ABOUT,5,98,0.4898,0.5102
isl_landmarks/00430__be02af0d.npz,ABOVE,6,52,0.0000,1.0000
isl_landmarks/00431__3e70abb1.npz,ABOVE,6,122,0.3934,0.6066
isl_landmarks/00433__c6da7854.npz,ABOVE,6,79,0.0000,1.0000
isl_landmarks/00435__66cecc88.npz,ABOVE,6,103,0.5340,0.4660
isl_landmarks/00583__39f9fa37.npz,ACCENT,7,38,0.2895,0.7105
isl_landmarks/00584__efbf2f4d.npz,ACCENT,7,42,0.2143,0.7857
isl_landmarks/00585__0c9b318e.npz,ACCENT,7,38,0.2632,0.7368
isl_landmarks/00586__57010a76.npz,ACCENT,7,39,0.3333,0.6667
isl_landmarks/00592__702ef3c6.npz,ACCEPT,8,125,0.4000,0.6000
isl_landmarks/00593__c73ef83f.npz,ACCEPT,8,28,0.2500,0.7500
isl_landmarks/00594__3692cd58.npz,ACCEPT,8,36,0.3056,0.6944
isl_landmarks/00597__073e8fcd.npz,ACCEPT,8,128,0.3906,0.6094
isl_landmarks/00599__16c3ef36.npz,ACCEPT,8,39,0.0000,1.0000
isl_landmarks/00600__177446b2.npz,ACCEPT,8,29,0.0000,1.0000
isl_landmarks/00603__ffd92ec8.npz,ACCEPT,8,85,0.5647,0.4353
isl_landmarks/00623__e9463411.npz,ACCIDENT,9,104,0.3269,0.6731
isl_landmarks/00624__24364ccb.npz,ACCIDENT,9,109,0.5321,0.4679
isl_landmarks/00625__14d1faf7.npz,ACCIDENT,9,34,0.2941,0.7059
isl_landmarks/00626__bd942c70.npz,ACCIDENT,9,44,0.1818,0.8182
isl_landmarks/00627__c06266df.npz,ACCIDENT,9,31,0.2581,0.7419
isl_landmarks/00628__ff74382a.npz,ACCIDENT,9,35,0.1714,0.8286
isl_landmarks/00629__7fa47509.npz,ACCIDENT,9,149,0.3020,0.6980
isl_landmarks/00631__af410334.npz,ACCIDENT,9,75,0.0000,1.0000
isl_landmarks/00632__4891aa54.npz,ACCIDENT,9,55,0.0000,1.0000
isl_landmarks/00633__8643793c.npz,ACCIDENT,9,25,0.0400,0.9600
isl_landmarks/00634__29819717.npz,ACCIDENT,9,40,0.0000,1.0000
isl_landmarks/00639__0ec9c75f.npz,ACCIDENT,9,105,0.5619,0.4381
isl_landmarks/00663__86a409dc.npz,ACCOMPLISH,10,117,0.3333,0.6667
isl_landmarks/00664__6eee266b.npz,ACCOMPLISH,10,119,0.5714,0.4286
isl_landmarks/00666__f99fa9a5.npz,ACCOMPLISH,10,36,0.0000,1.0000
isl_landmarks/00668__9f772f32.npz,ACCOMPLISH,10,79,0.4937,0.5063
isl_landmarks/00689__1371f500.npz,ACCOUNTANT,11,88,0.3636,0.6364
isl_landmarks/00690__077e786b.npz,ACCOUNTANT,11,134,0.4627,0.5373
isl_landmarks/00692__abfc6ca4.npz,ACCOUNTANT,11,66,0.0152,0.9848
isl_landmarks/00694__28f595cd.npz,ACCOUNTANT,11,105,0.4667,0.5333
isl_landmarks/00832__b5c838ea.npz,ACROSS,12,141,0.4043,0.5957
isl_landmarks/00834__f6503688.npz,ACROSS,12,89,0.4045,0.5955
isl_landmarks/00835__60fde19b.npz,ACROSS,12,44,0.1818,0.8182
isl_landmarks/00836__d811df15.npz,ACROSS,12,42,0.1905,0.8095
isl_landmarks/00839__a4c6136c.npz,ACROSS,12,51,0.0000,1.0000
isl_landmarks/00842__bbc9bea9.npz,ACROSS,12,89,0.5843,0.4157
isl_landmarks/00846__2ead954b.npz,ACT,13,40,0.1500,0.8500
isl_landmarks/00847__055fd9a2.npz,ACT,13,114,0.3421,0.6579
isl_landmarks/00849__71daafcc.npz,ACT,13,87,0.0000,1.0000
isl_landmarks/00851__7172826c.npz,ACT,13,78,0.5256,0.4744
isl_landmarks/00853__45e599b6.npz,ACTION,14,84,0.4762,0.5238
isl_landmarks/00854__efd7122d.npz,ACTION,14,108,0.3704,0.6296
isl_landmarks/00855__3ac790cc.npz,ACTION,14,65,0.0000,1.0000
isl_landmarks/00856__1e86a327.npz,ACTION,14,48,0.0000,1.0000
isl_landmarks/00858__ee2fb3a7.npz,ACTION,14,100,0.4800,0.5200
isl_landmarks/00868__5c58f680.npz,ACTIVE,15,70,0.5143,0.4857
isl_landmarks/00869__d790433b.npz,ACTIVE,15,121,0.4628,0.5372
isl_landmarks/00871__88b52a0a.npz,ACTIVE,15,56,0.0000,1.0000
isl_landmarks/00872__feacd657.npz,ACTIVE,15,65,0.0000,1.0000
isl_landmarks/00874__4e4d9191.npz,ACTIVE,15,93,0.5806,0.4194
isl_landmarks/00890__256ee954.npz,ACTIVITY,16,32,0.5625,0.4375
isl_landmarks/00891__18a1e334.npz,ACTIVITY,16,108,0.3796,0.6204
isl_landmarks/00892__29e625dc.npz,ACTIVITY,16,65,0.3538,0.6462
isl_landmarks/00894__0c3e9a38.npz,ACTIVITY,16,65,0.0000,1.0000
isl_landmarks/00898__b5e1fc0c.npz,ACTOR,17,69,0.4493,0.5507
isl_landmarks/00899__57f605ef.npz,ACTOR,17,90,0.4667,0.5333
isl_landmarks/00900__18af0c2b.npz,ACTOR,17,143,0.4196,0.5804
isl_landmarks/00901__e32b15ef.npz,ACTOR,17,65,0.0000,1.0000
isl_landmarks/00904__fb7f32ba.npz,ACTOR,17,113,0.4336,0.5664
isl_landmarks/00943__1b89c2a0.npz,ADAPT,18,133,0.4737,0.5263
isl_landmarks/00944__a70bed1c.npz,ADAPT,18,114,0.2895,0.7105
isl_landmarks/00946__53b2be13.npz,ADAPT,18,29,0.2069,0.7931
isl_landmarks/00947__9b49cebe.npz,ADAPT,18,81,0.4444,0.5556
isl_landmarks/00949__13ffd891.npz,ADAPT,18,51,0.1176,0.8824
